tool,distance,readout_ns,noise_model,measure_error,logical_error_rate
artifact,5,250,current,0.00354,0.000798
artifact,5,500,current,0.00354,0.001644
artifact,5,750,current,0.00354,0.00284
artifact,5,1000,current,0.00354,0.004424
artifact,5,1500,current,0.00354,0.008428
artifact,5,2000,current,0.00354,0.014646
artifact,5,250,futuristic,0.00035400000000000004,1e-05
artifact,5,500,futuristic,0.00035400000000000004,1.4e-05
artifact,5,750,futuristic,0.00035400000000000004,2.6e-05
artifact,5,1000,futuristic,0.00035400000000000004,8.2e-05
artifact,5,1500,futuristic,0.00035400000000000004,0.000124
artifact,5,2000,futuristic,0.00035400000000000004,0.00032
artifact,7,250,current,0.00354,0.000148
artifact,7,500,current,0.00354,0.000388
artifact,7,750,current,0.00354,0.000754
artifact,7,1000,current,0.00354,0.001372
artifact,7,1500,current,0.00354,0.003154
artifact,7,2000,current,0.00354,0.006492
artifact,7,250,futuristic,0.00035400000000000004,0.0
artifact,7,500,futuristic,0.00035400000000000004,0.0
artifact,7,750,futuristic,0.00035400000000000004,0.0
artifact,7,1000,futuristic,0.00035400000000000004,2e-06
artifact,7,1500,futuristic,0.00035400000000000004,6e-06
artifact,7,2000,futuristic,0.00035400000000000004,2.4e-05
artifact,9,250,current,0.00354,1.8e-05
artifact,9,500,current,0.00354,0.000106
artifact,9,750,current,0.00354,0.000206
artifact,9,1000,current,0.00354,0.000418
artifact,9,1500,current,0.00354,0.001268
artifact,9,2000,current,0.00354,0.00298
artifact,9,250,futuristic,0.00035400000000000004,0.0
artifact,9,500,futuristic,0.00035400000000000004,0.0
artifact,9,750,futuristic,0.00035400000000000004,0.0
artifact,9,1000,futuristic,0.00035400000000000004,0.0
artifact,9,1500,futuristic,0.00035400000000000004,0.0
artifact,9,2000,futuristic,0.00035400000000000004,0.0
artifact,11,250,current,0.00354,6e-06
artifact,11,500,current,0.00354,1e-05
artifact,11,750,current,0.00354,5.2e-05
artifact,11,1000,current,0.00354,0.000122
artifact,11,1500,current,0.00354,0.000414
artifact,11,2000,current,0.00354,0.0011
artifact,11,250,futuristic,0.00035400000000000004,0.0
artifact,11,500,futuristic,0.00035400000000000004,0.0
artifact,11,750,futuristic,0.00035400000000000004,0.0
artifact,11,1000,futuristic,0.00035400000000000004,0.0
artifact,11,1500,futuristic,0.00035400000000000004,0.0
artifact,11,2000,futuristic,0.00035400000000000004,0.0
artifact,13,250,current,0.00354,0.0
artifact,13,500,current,0.00354,0.0
artifact,13,750,current,0.00354,6e-06
artifact,13,1000,current,0.00354,3.6e-05
artifact,13,1500,current,0.00354,0.000152
artifact,13,2000,current,0.00354,0.00044
artifact,13,250,futuristic,0.00035400000000000004,0.0
artifact,13,500,futuristic,0.00035400000000000004,0.0
artifact,13,750,futuristic,0.00035400000000000004,0.0
artifact,13,1000,futuristic,0.00035400000000000004,0.0
artifact,13,1500,futuristic,0.00035400000000000004,0.0
artifact,13,2000,futuristic,0.00035400000000000004,0.0
