TIME VAUXP[0] VAUXN[0] VAUXP[1] VAUXN[1] VAUXP[2] VAUXN[2] VAUXP[3] VAUXN[3] Temp VCCINT VCCAUX VCCBRAM
000000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 0 1.00 1.80 1.00 
010000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 1 1.00 1.80 1.00 
020000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 2 1.00 1.80 1.00 
030000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 3 1.00 1.80 1.00 
040000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 4 1.00 1.80 1.00 
050000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 5 1.00 1.80 1.00 
060000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 6 1.00 1.80 1.00 
070000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 7 1.00 1.80 1.00 
080000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 8 1.00 1.80 1.00 
090000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 9 1.00 1.80 1.00 
100000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 10 1.00 1.80 1.00 
110000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 11 1.00 1.80 1.00 
120000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 12 1.00 1.80 1.00 
130000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 13 1.00 1.80 1.00 
140000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 14 1.00 1.80 1.00 
150000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 15 1.00 1.80 1.00 
160000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 16 1.00 1.80 1.00 
170000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 17 1.00 1.80 1.00 
180000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 18 1.00 1.80 1.00 
190000 0.005 0.0 0.200 0.0 0.50 0.0 0.1 0.0 19 1.00 1.80 1.00 
