Benchmark,N,Method,Fidelity
Repeated teleportation,5,Raw,0.95
Repeated teleportation,5,Qiskit M3,0.9953
Repeated teleportation,5,MCMit,1.0
Repeated teleportation,7,Raw,0.8947
Repeated teleportation,7,Qiskit M3,0.9483
Repeated teleportation,7,MCMit,1.0
Repeated teleportation,9,Raw,0.8426
Repeated teleportation,9,Qiskit M3,0.8861
Repeated teleportation,9,MCMit,1.0
Repeated teleportation,11,Raw,0.7935
Repeated teleportation,11,Qiskit M3,0.8656
Repeated teleportation,11,MCMit,0.9834
Repeated teleportation,13,Raw,0.7473
Repeated teleportation,13,Qiskit M3,0.8149
Repeated teleportation,13,MCMit,0.8587
Repeated teleportation,15,Raw,0.7038
Repeated teleportation,15,Qiskit M3,0.7682
Repeated teleportation,15,MCMit,0.8278
Repeated teleportation,17,Raw,0.6628
Repeated teleportation,17,Qiskit M3,0.7193
Repeated teleportation,17,MCMit,0.8278
Repeated teleportation,19,Raw,0.6242
Repeated teleportation,19,Qiskit M3,0.6712
Repeated teleportation,19,MCMit,0.7102
Repeated teleportation,21,Raw,0.5878
Repeated teleportation,21,Qiskit M3,0.6015
Repeated teleportation,21,MCMit,0.6629
Repeated teleportation,23,Raw,0.5536
Repeated teleportation,23,Qiskit M3,0.5719
Repeated teleportation,23,MCMit,0.6308
Repeated teleportation,25,Raw,0.5214
Repeated teleportation,25,Qiskit M3,0.5345
Repeated teleportation,25,MCMit,0.6308
