tool,distance,readout_ns,noise_model,measure_error,logical_error_rate
artifact,5,400,futuristic,0.007895490215535029,1.8e-05
artifact,5,600,futuristic,0.005059445028330967,5.4e-05
artifact,5,800,futuristic,0.0045084008455954505,6.4e-05
artifact,5,1000,futuristic,0.004283659147231211,0.000116
artifact,5,200,futuristic,0.02034041393624929,5.6e-05
artifact,5,1000,current,0.04283659147231211,0.017354
artifact,5,800,current,0.045084008455954505,0.014396
artifact,7,1000,futuristic,0.004283659147231211,4e-06
artifact,7,800,futuristic,0.0045084008455954505,4e-06
artifact,7,400,futuristic,0.007895490215535029,4e-06
artifact,5,600,current,0.05059445028330967,0.01397
artifact,7,600,futuristic,0.005059445028330967,0.0
artifact,7,200,futuristic,0.02034041393624929,2e-06
artifact,5,400,current,0.07895490215535028,0.041728
artifact,9,800,futuristic,0.0045084008455954505,0.0
artifact,9,1000,futuristic,0.004283659147231211,0.0
artifact,9,600,futuristic,0.005059445028330967,0.0
artifact,9,400,futuristic,0.007895490215535029,0.0
artifact,7,1000,current,0.04283659147231211,0.009104
artifact,7,800,current,0.045084008455954505,0.007422
artifact,7,600,current,0.05059445028330967,0.007322
artifact,9,200,futuristic,0.02034041393624929,0.0
artifact,5,200,current,0.2034041393624929,0.38066
artifact,7,400,current,0.07895490215535028,0.032734
artifact,11,600,futuristic,0.005059445028330967,0.0
artifact,11,400,futuristic,0.007895490215535029,0.0
artifact,11,800,futuristic,0.0045084008455954505,0.0
artifact,11,1000,futuristic,0.004283659147231211,0.0
artifact,11,200,futuristic,0.02034041393624929,0.0
artifact,9,800,current,0.045084008455954505,0.00341
artifact,9,1000,current,0.04283659147231211,0.004606
artifact,9,600,current,0.05059445028330967,0.003634
artifact,13,600,futuristic,0.005059445028330967,0.0
artifact,13,400,futuristic,0.007895490215535029,0.0
artifact,13,1000,futuristic,0.004283659147231211,0.0
artifact,13,800,futuristic,0.0045084008455954505,0.0
artifact,9,400,current,0.07895490215535028,0.02623
artifact,13,200,futuristic,0.02034041393624929,0.0
artifact,7,200,current,0.2034041393624929,0.429468
artifact,11,800,current,0.045084008455954505,0.001566
artifact,11,1000,current,0.04283659147231211,0.002352
artifact,11,600,current,0.05059445028330967,0.001676
artifact,11,400,current,0.07895490215535028,0.021262
artifact,13,800,current,0.045084008455954505,0.000738
artifact,13,1000,current,0.04283659147231211,0.001122
artifact,13,600,current,0.05059445028330967,0.00077
artifact,9,200,current,0.2034041393624929,0.456924
artifact,13,400,current,0.07895490215535028,0.017256
artifact,11,200,current,0.2034041393624929,0.474508
