distance,total_patches,measure_latency_ns,measure_error,logical_error_rate
7,16,1000,0.089,0.2233
7,32,1000,0.089,0.27513
7,48,1000,0.089,0.3251
7,64,1000,0.089,0.36588
7,80,1000,0.089,0.3988
7,96,1000,0.089,0.42739
9,16,1000,0.089,0.25648
9,32,1000,0.089,0.31873
9,48,1000,0.089,0.37203
9,64,1000,0.089,0.41586
9,80,1000,0.089,0.44495
9,96,1000,0.089,0.46812
13,16,1000,0.089,0.31389
13,32,1000,0.089,0.39056
13,48,1000,0.089,0.44635
13,64,1000,0.089,0.47698
13,80,1000,0.089,0.49081
13,96,1000,0.089,0.49662
