Benchmark,N,Method,Fidelity
Constant-depth GHZ,10,MCMit,0.8004374404752136
Constant-depth GHZ,50,MCMit,0.3287578472796918
Constant-depth GHZ,100,MCMit,0.10823060708872279
Constant-depth GHZ,250,MCMit,0.003893650523272434
Constant-depth GHZ,500,MCMit,1.5690037525242103e-05
Constant-depth GHZ,750,MCMit,6.541922640684944e-08
Constant-depth GHZ,1000,MCMit,2.8212634829098055e-10
Constant-depth GHZ,10,Qubic,0.4837327942855571
Constant-depth GHZ,50,Qubic,0.02664245192109406
Constant-depth GHZ,100,Qubic,0.0007202928864232077
Constant-depth GHZ,250,Qubic,1.5532693287703633e-08
Constant-depth GHZ,500,Qubic,3.4477787712997275e-16
Constant-depth GHZ,750,Qubic,1.0687349390295349e-23
Constant-depth GHZ,1000,Qubic,4.470695424159461e-31
Long-range CNOT,10,MCMit,0.972558926502921
Long-range CNOT,50,MCMit,0.8701808388248422
Long-range CNOT,100,MCMit,0.7573449987259283
Long-range CNOT,250,MCMit,0.4997981233232594
Long-range CNOT,500,MCMit,0.25087246540289243
Long-range CNOT,750,MCMit,0.12646291131472892
Long-range CNOT,1000,MCMit,0.06401849437755058
Long-range CNOT,10,Qubic,0.9132205828436681
Long-range CNOT,50,Qubic,0.63561885822122
Long-range CNOT,100,Qubic,0.4047516619789875
Long-range CNOT,250,Qubic,0.10565884181401486
Long-range CNOT,500,Qubic,0.011673267127806324
Long-range CNOT,750,Qubic,0.0013446484356510362
Long-range CNOT,1000,Qubic,0.00016080401400681848
