Benchmark,N,Method,Fidelity
Constant-depth GHZ, 10, MCMit, 0.9824957226276887
Constant-depth GHZ, 50, MCMit, 0.923090683203034
Constant-depth GHZ, 100, MCMit, 0.8671284415541287
Constant-depth GHZ, 250, MCMit, 0.6990066969485081
Constant-depth GHZ, 500, MCMit, 0.5102950679755001
Constant-depth GHZ, 750, MCMit, 0.3841006251966102
Constant-depth GHZ, 1000, MCMit, 0.3085913678856134
Constant-depth GHZ, 10, Qubic, 0.963393635755291
Constant-depth GHZ, 50, Qubic, 0.8230056806656831
Constant-depth GHZ, 100, Qubic, 0.6872147527994571
Constant-depth GHZ, 250, Qubic, 0.42808677055894095
Constant-depth GHZ, 500, Qubic, 0.2581224950228699
Constant-depth GHZ, 750, Qubic, 0.19287773668511393
Constant-depth GHZ, 1000, Qubic, 0.15534802307403547
Long-range CNOT, 10, MCMit, 0.9847549867714118
Long-range CNOT, 50, MCMit, 0.9287805377881935
Long-range CNOT, 100, MCMit, 0.8712617598038552
Long-range CNOT, 250, MCMit, 0.7216918231996867
Long-range CNOT, 500, MCMit, 0.5606580781533127
Long-range CNOT, 750, MCMit, 0.4591245910813976
Long-range CNOT, 1000, MCMit, 0.39505293061218055
Long-range CNOT, 10, Qubic, 0.9605307576319567
Long-range CNOT, 50, Qubic, 0.8301733617833904
Long-range CNOT, 100, Qubic, 0.692999699510179
Long-range CNOT, 250, Qubic, 0.47864357968638216
Long-range CNOT, 500, Qubic, 0.3407574909633303
Long-range CNOT, 750, Qubic, 0.29081169332283546
Long-range CNOT, 1000, Qubic, 0.26398535713766597
