Benchmark,N,Method,Fidelity
Repeated teleportation, 1, 250ns, 0.9925
Repeated teleportation, 1, 500ns, 0.9851
Repeated teleportation, 1, 750ns, 0.9772000000000001
Repeated teleportation, 1, 1000ns, 0.9713999999999999
Repeated teleportation, 2, 250ns, 0.9867
Repeated teleportation, 2, 500ns, 0.974000000001
Repeated teleportation, 2, 750ns, 0.9626
Repeated teleportation, 2, 1000ns, 0.9480000000000001
Repeated teleportation, 3, 250ns, 0.9804999999999999
Repeated teleportation, 3, 500ns, 0.9588999999999999
Repeated teleportation, 3, 750ns, 0.9413
Repeated teleportation, 3, 1000ns, 0.9217
Repeated teleportation, 4, 250ns, 0.9737999999999999
Repeated teleportation, 4, 500ns, 0.9494
Repeated teleportation, 4, 750ns, 0.9259
Repeated teleportation, 4, 1000ns, 0.9013000000000001
Repeated teleportation, 5, 250ns, 0.968000000001
Repeated teleportation, 5, 500ns, 0.9323
Repeated teleportation, 5, 750ns, 0.9097
Repeated teleportation, 5, 1000ns, 0.8867
Repeated teleportation, 6, 250ns, 0.9609000000000001
Repeated teleportation, 6, 500ns, 0.9236
Repeated teleportation, 6, 750ns, 0.8922
Repeated teleportation, 6, 1000ns, 0.8596999999999999
Repeated teleportation, 7, 250ns, 0.9519
Repeated teleportation, 7, 500ns, 0.9126
Repeated teleportation, 7, 750ns, 0.8763999999999998
Repeated teleportation, 7, 1000ns, 0.8389000000000001
Repeated teleportation, 8, 250ns, 0.9495000000000001
Repeated teleportation, 8, 500ns, 0.9026
Repeated teleportation, 8, 750ns, 0.866
Repeated teleportation, 8, 1000ns, 0.8209
Ladder teleportation, 1, 250ns, 0.9956
Ladder teleportation, 1, 500ns, 0.9906
Ladder teleportation, 1, 750ns, 0.9884999999999999
Ladder teleportation, 1, 1000ns, 0.9819000000000001
Ladder teleportation, 2, 250ns, 0.9931
Ladder teleportation, 2, 500ns, 0.9861
Ladder teleportation, 2, 750ns, 0.9794999999999999
Ladder teleportation, 2, 1000ns, 0.9734
Ladder teleportation, 3, 250ns, 0.9897
Ladder teleportation, 3, 500ns, 0.982000000001
Ladder teleportation, 3, 750ns, 0.972
Ladder teleportation, 3, 1000ns, 0.9605000000000001
Ladder teleportation, 4, 250ns, 0.987
Ladder teleportation, 4, 500ns, 0.9797
Ladder teleportation, 4, 750ns, 0.9656999999999999
Ladder teleportation, 4, 1000ns, 0.9541999999999999
Ladder teleportation, 5, 250ns, 0.9836
Ladder teleportation, 5, 500ns, 0.9621999999999999
Ladder teleportation, 5, 750ns, 0.9500000000000001
Ladder teleportation, 5, 1000ns, 0.9352
Ladder teleportation, 6, 250ns, 0.9800000000000001
Ladder teleportation, 6, 500ns, 0.9626999999999999
Ladder teleportation, 6, 750ns, 0.9450999999999999
Ladder teleportation, 6, 1000ns, 0.9258
Ladder teleportation, 7, 250ns, 0.9764
Ladder teleportation, 7, 500ns, 0.9590000000000001
Ladder teleportation, 7, 750ns, 0.937
Ladder teleportation, 7, 1000ns, 0.9184000000000001
Ladder teleportation, 8, 250ns, 0.9709000000000001
Ladder teleportation, 8, 500ns, 0.9426999999999999
Ladder teleportation, 8, 750ns, 0.9175000000000001
Ladder teleportation, 8, 1000ns, 0.8927000000000002


