distance,mcm_latency_ns,system,noise_model,logical_error_rate
7,1000,HERQULES,futuristic,0.00102
7,500,MCMit,futuristic,0.00147
7,750,MCMit,futuristic,0.00245
7,1000,MCMit,futuristic,0.00336
7,750,HERQULES,futuristic,0.0067
9,1000,HERQULES,futuristic,0.00026
7,1000,HERQULES,current,0.12849
7,250,MCMit,futuristic,0.02659
9,500,MCMit,futuristic,0.00052
7,500,MCMit,current,0.09975
9,750,MCMit,futuristic,0.0011
9,1000,MCMit,futuristic,0.00145
7,750,MCMit,current,0.14128
7,1000,MCMit,current,0.18591
7,750,HERQULES,current,0.17689
9,750,HERQULES,futuristic,0.00354
11,1000,HERQULES,futuristic,4e-05
7,250,MCMit,current,0.17163
9,250,MCMit,futuristic,0.02184
9,1000,HERQULES,current,0.13419
11,500,MCMit,futuristic,0.00026
11,750,MCMit,futuristic,0.00042
11,1000,MCMit,futuristic,0.00053
9,500,MCMit,current,0.10111
11,750,HERQULES,futuristic,0.00185
9,750,MCMit,current,0.15442
9,1000,MCMit,current,0.20545
9,750,HERQULES,current,0.20219
11,250,MCMit,futuristic,0.01907
11,1000,HERQULES,current,0.14185
9,250,MCMit,current,0.19658
7,500,HERQULES,futuristic,0.49799
11,500,MCMit,current,0.10364
11,750,MCMit,current,0.16736
11,1000,MCMit,current,0.23081
7,500,HERQULES,current,0.50148
11,750,HERQULES,current,0.22646
11,250,MCMit,current,0.21753
9,500,HERQULES,futuristic,0.49922
9,500,HERQULES,current,0.50223
7,250,HERQULES,futuristic,0.50044
7,250,HERQULES,current,0.49943
11,500,HERQULES,futuristic,0.49732
11,500,HERQULES,current,0.49997
9,250,HERQULES,current,0.4984
9,250,HERQULES,futuristic,0.50082
11,250,HERQULES,current,0.50293
11,250,HERQULES,futuristic,0.50062

