distance,mcm_latency_ns,system,noise_model,logical_error_rate
7,250,HERQULES,current,0.49986
7,250,HERQULES,futuristic,0.00086
7,250,MCMit,current,0.34472
7,250,MCMit,futuristic,2e-05
7,500,HERQULES,current,0.48456
7,500,HERQULES,futuristic,6e-05
7,500,MCMit,current,0.06692
7,500,MCMit,futuristic,2e-05
7,750,HERQULES,current,0.07758
7,750,HERQULES,futuristic,0.00012
7,750,MCMit,current,0.07024
7,750,MCMit,futuristic,4e-05
7,1000,HERQULES,current,0.07506
7,1000,HERQULES,futuristic,8e-05
7,1000,MCMit,current,0.0968
7,1000,MCMit,futuristic,0.00014
9,250,HERQULES,current,0.49936
9,250,HERQULES,futuristic,0.0004
9,250,MCMit,current,0.38108
9,250,MCMit,futuristic,0.0
9,500,HERQULES,current,0.49352
9,500,HERQULES,futuristic,2e-05
9,500,MCMit,current,0.06074
9,500,MCMit,futuristic,2e-05
9,750,HERQULES,current,0.07418
9,750,HERQULES,futuristic,2e-05
9,750,MCMit,current,0.066
9,750,MCMit,futuristic,0.0
9,1000,HERQULES,current,0.0679
9,1000,HERQULES,futuristic,2e-05
9,1000,MCMit,current,0.0963
9,1000,MCMit,futuristic,4e-05
11,250,HERQULES,current,0.50104
11,250,HERQULES,futuristic,0.00034
11,250,MCMit,current,0.41558
11,250,MCMit,futuristic,0.0
11,500,HERQULES,current,0.5022
11,500,HERQULES,futuristic,0.0
11,500,MCMit,current,0.05254
11,500,MCMit,futuristic,0.0
11,750,HERQULES,current,0.06862
11,750,HERQULES,futuristic,0.0
11,750,MCMit,current,0.06068
11,750,MCMit,futuristic,0.0
11,1000,HERQULES,current,0.06268
11,1000,HERQULES,futuristic,0.0
11,1000,MCMit,current,0.09132
11,1000,MCMit,futuristic,0.0
