benchmark,latency_ratio_feedback_2q,depth_difference
vqe,2,-1.407314381398181
qft,2,-0.994782803822204
qaoa,2,-1.7593071082050202
bv,2,0.5375335120643432
vqe,2.2,-1.5874414887544246
qft,2.2,-1.1414876177297408
qaoa,2.2,-1.9673592069183719
bv,2.2,0.49966487935656834
vqe,3,-2.3079499181793963
qft,3,-1.7283068733598865
qaoa,3,-2.7995676017717783
bv,3,0.34819034852546915
vqe,4,-3.2085854549606116
qft,4,-2.4618309428975698
qaoa,4,-3.839828095338536
bv,4,0.1588471849865951
vqe,5,-4.109220991741828
qft,5,-3.195355012435252
qaoa,5,-4.880088588905294
bv,5,-0.030495978552278924
vqe,6,-5.009856528523043
qft,6,-3.9288790819729353
qaoa,6,-5.920349082472052
bv,6,-0.21983914209115296
vqe,7,-5.9104920653042585
qft,7,-4.662403151510619
qaoa,7,-6.96060957603881
bv,7,-0.409182305630027
vqe,8,-6.811127602085474
qft,8,-5.395927221048301
qaoa,8,-8.000870069605568
bv,8,-0.598525469168901
vqe,10.3,-8.88258933668227
qft,10.3,-7.0830325809849715
qaoa,10.3,-10.393469204809113
bv,10.3,-1.0340147453083115
vqe,11,-9.51303421242912
qft,11,-7.59649942966135
qaoa,11,-11.121651550305844
bv,11,-1.1665549597855231
