benchmark,latency_ratio_mcm_2q,depth_difference
vqe,3.6,0.5688320584541615
qft,3.6,0.6154795519569161
qaoa,3.6,0.522015397595444
bv,3.6,0.9376675603217158
vqe,5,0.5305780720782434
qft,5,0.5841514420529699
qaoa,5,0.4780900653870491
bv,5,0.9329758713136729
vqe,10,0.3939566921642501
qft,10,0.47226533525316183
qaoa,10,0.32121387892849607
bv,10,0.9162198391420912
vqe,11,0.3666324161814515
qft,11,0.44988811389320016
qaoa,11,0.2898386416367854
bv,11,0.9128686327077749
vqe,20,0.12071393233626371
qft,20,0.24849312165354576
qaoa,20,0.007461506011389951
bv,20,0.8827077747989276
vqe,22,0.06606538037066634
qft,22,0.20373867893362252
qaoa,22,-0.05528896857203125
bv,22,0.8760053619302949
vqe,30,-0.1525288274917227
qft,30,0.02472090805392979
qaoa,30,-0.30629086690571605
bv,30,0.849195710455764
vqe,38,-0.37112303535411195
qft,38,-0.15429686282576305
qaoa,38,-0.5572927652394011
bv,38,0.8223860589812333
vqe,40,-0.4257715873197092
qft,40,-0.19905130554568617
qaoa,40,-0.6200432398228222
bv,40,0.8156836461126005
vqe,50,-0.6990143471476957
qft,50,-0.42282351914530225
qaoa,50,-0.9337956127399283
bv,50,0.782171581769437
