Benchmark,N,Method,Fidelity
Constant-depth GHZ,5,Raw,0.9
Constant-depth GHZ,5,Qiskit M3,1.0
Constant-depth GHZ,5,MCMit,0.99
Constant-depth GHZ,7,Raw,0.8144
Constant-depth GHZ,7,Qiskit M3,0.9548
Constant-depth GHZ,7,MCMit,0.98
Constant-depth GHZ,9,Raw,0.7369
Constant-depth GHZ,9,Qiskit M3,0.8355
Constant-depth GHZ,9,MCMit,0.9758
Constant-depth GHZ,11,Raw,0.6667
Constant-depth GHZ,11,Qiskit M3,0.7486
Constant-depth GHZ,11,MCMit,0.94
Constant-depth GHZ,13,Raw,0.6033
Constant-depth GHZ,13,Qiskit M3,0.6648
Constant-depth GHZ,13,MCMit,0.93
Constant-depth GHZ,15,Raw,0.5459
Constant-depth GHZ,15,Qiskit M3,0.6184
Constant-depth GHZ,15,MCMit,0.8925
Constant-depth GHZ,17,Raw,0.4939
Constant-depth GHZ,17,Qiskit M3,0.5551
Constant-depth GHZ,17,MCMit,0.8594
Constant-depth GHZ,19,Raw,0.4469
Constant-depth GHZ,19,Qiskit M3,0.5242
Constant-depth GHZ,19,MCMit,0.8194
Constant-depth GHZ,21,Raw,0.4044
Constant-depth GHZ,21,Qiskit M3,0.4749
Constant-depth GHZ,21,MCMit,0.7244
Constant-depth GHZ,23,Raw,0.3659
Constant-depth GHZ,23,Qiskit M3,0.4318
Constant-depth GHZ,23,MCMit,0.676
Constant-depth GHZ,25,Raw,0.3311
Constant-depth GHZ,25,Qiskit M3,0.3765
Constant-depth GHZ,25,MCMit,0.6081
Long-range CNOT,5,Qiskit M3,0.9738
Long-range CNOT,5,MCMit,0.9928
Long-range CNOT,7,Qiskit M3,0.9605
Long-range CNOT,7,MCMit,0.9905
Long-range CNOT,9,Qiskit M3,0.911
Long-range CNOT,9,MCMit,0.9928
Long-range CNOT,11,Qiskit M3,0.8985
Long-range CNOT,11,MCMit,0.9928
Long-range CNOT,13,Qiskit M3,0.8392
Long-range CNOT,13,MCMit,0.9928
Long-range CNOT,15,Qiskit M3,0.8308
Long-range CNOT,15,MCMit,0.9765
Long-range CNOT,17,Qiskit M3,0.8308
Long-range CNOT,17,MCMit,0.9191
